receptor,helical,beta,coil,veryBuried,veryExposed,someBuried,someExposed
P00808,0.463,0.121,0.417,0.326,0.264,0.212,0.199
P00809,0.467,0.124,0.408,0.317,0.252,0.242,0.190
P00811,0.324,0.167,0.509,0.374,0.207,0.252,0.167
P00845,0.944,0.000,0.056,0.153,0.542,0.236,0.069
P00918,0.142,0.312,0.546,0.288,0.262,0.223,0.227
P02554,0.400,0.146,0.454,0.393,0.200,0.249,0.157
P02710,0.419,0.228,0.354,0.325,0.223,0.256,0.195
P02712,0.375,0.215,0.410,0.306,0.256,0.274,0.164
P02714,0.358,0.219,0.423,0.298,0.247,0.285,0.170
P02718,0.335,0.216,0.448,0.299,0.261,0.280,0.161
P02930,0.611,0.083,0.306,0.148,0.264,0.294,0.294
P03118,0.242,0.209,0.549,0.247,0.414,0.204,0.135
P03468,0.070,0.403,0.526,0.425,0.196,0.242,0.137
P03469,0.070,0.411,0.519,0.417,0.198,0.243,0.143
P03470,0.071,0.400,0.530,0.424,0.205,0.243,0.128
P04015,0.272,0.240,0.488,0.262,0.354,0.251,0.134
P04058,0.367,0.104,0.529,0.408,0.212,0.229,0.152
P04174,0.216,0.321,0.463,0.278,0.278,0.235,0.210
P04353,0.577,0.027,0.396,0.188,0.329,0.195,0.289
P05193,0.352,0.131,0.517,0.370,0.220,0.268,0.142
P05227,0.033,0.000,0.967,0.259,0.214,0.413,0.114
P05364,0.349,0.144,0.507,0.365,0.215,0.260,0.160
P05778,0.454,0.052,0.495,0.103,0.577,0.155,0.165
P06278,0.266,0.162,0.572,0.398,0.195,0.256,0.150
P06492,0.449,0.053,0.498,0.294,0.261,0.241,0.204
P06737,0.544,0.106,0.349,0.411,0.179,0.236,0.174
P06961,0.527,0.107,0.367,0.303,0.216,0.284,0.197
P07374,0.298,0.215,0.487,0.496,0.129,0.239,0.136
P07382,0.267,0.202,0.531,0.350,0.242,0.238,0.169
P07445,0.298,0.366,0.336,0.214,0.321,0.214,0.252
P07650,0.448,0.134,0.418,0.377,0.202,0.266,0.155
P07677,0.381,0.175,0.444,0.366,0.188,0.262,0.184
P07862,0.376,0.229,0.395,0.346,0.176,0.275,0.203
P08192,0.410,0.185,0.405,0.363,0.199,0.263,0.175
P08546,0.325,0.180,0.494,0.321,0.207,0.279,0.192
P08659,0.324,0.220,0.456,0.407,0.202,0.249,0.142
P09219,0.420,0.165,0.414,0.373,0.183,0.255,0.189
P09252,0.330,0.189,0.481,0.305,0.215,0.295,0.185
P09960,0.381,0.226,0.393,0.349,0.191,0.252,0.208
P0A017,0.214,0.340,0.447,0.289,0.252,0.208,0.252
P0A031,0.349,0.174,0.477,0.354,0.303,0.187,0.156
P0A0I7,0.353,0.336,0.311,0.261,0.244,0.256,0.239
P0A0J7,0.863,0.000,0.137,0.412,0.193,0.175,0.219
P0A0K8,0.349,0.216,0.435,0.335,0.214,0.252,0.199
P0A3M1,0.469,0.140,0.392,0.332,0.234,0.273,0.161
P0A4L9,0.341,0.221,0.438,0.336,0.218,0.242,0.204
P0A6A8,0.679,0.000,0.321,0.167,0.333,0.244,0.256
P0A6R0,0.372,0.233,0.394,0.432,0.161,0.233,0.174
P0A6W3,0.719,0.000,0.281,0.367,0.158,0.236,0.239
P0A707,0.322,0.261,0.417,0.178,0.444,0.222,0.156
P0A720,0.549,0.127,0.324,0.286,0.268,0.258,0.188
P0A725,0.236,0.315,0.449,0.354,0.207,0.256,0.184
P0A749,0.377,0.246,0.377,0.377,0.143,0.198,0.282
P0A7M2,0.244,0.205,0.551,0.154,0.526,0.141,0.179
P0A7T7,0.333,0.013,0.653,0.107,0.507,0.213,0.173
P0A884,0.330,0.212,0.458,0.364,0.208,0.239,0.189
P0A8F0,0.332,0.279,0.389,0.375,0.212,0.255,0.159
P0A953,0.350,0.190,0.461,0.512,0.133,0.192,0.163
P0A9A6,0.352,0.185,0.462,0.363,0.272,0.196,0.170
P0A9J4,0.482,0.188,0.330,0.337,0.231,0.254,0.178
P0AB71,0.493,0.117,0.390,0.368,0.206,0.245,0.181
P0ABF8,0.797,0.000,0.203,0.247,0.242,0.236,0.275
P0ABH0,0.360,0.274,0.367,0.321,0.229,0.231,0.219
P0ABQ4,0.220,0.327,0.453,0.277,0.270,0.214,0.239
P0AC13,0.450,0.142,0.408,0.369,0.195,0.248,0.188
P0ACC3,0.175,0.333,0.491,0.184,0.368,0.211,0.237
P0AD57,0.768,0.000,0.232,0.372,0.204,0.263,0.161
P0AD63,0.469,0.140,0.392,0.329,0.224,0.276,0.171
P0AD64,0.469,0.140,0.392,0.329,0.224,0.276,0.171
P0AE18,0.314,0.246,0.439,0.333,0.205,0.269,0.193
P0AEK4,0.447,0.145,0.408,0.443,0.179,0.225,0.153
P0AES4,0.318,0.242,0.440,0.336,0.210,0.259,0.194
P0AES6,0.382,0.216,0.402,0.328,0.199,0.245,0.228
P0AEY8,0.827,0.000,0.173,0.393,0.198,0.200,0.210
P0AF67,0.340,0.288,0.373,0.320,0.242,0.196,0.242
P0AFZ5,0.331,0.178,0.491,0.284,0.373,0.219,0.124
P0AGL2,0.279,0.310,0.411,0.256,0.287,0.271,0.186
P0C1S7,0.341,0.214,0.445,0.333,0.214,0.258,0.195
P0C1U9,0.338,0.263,0.400,0.354,0.176,0.260,0.210
P0C559,0.348,0.203,0.449,0.335,0.228,0.243,0.194
P0CS83,0.111,0.387,0.503,0.354,0.231,0.249,0.166
P0CY26,0.110,0.386,0.504,0.353,0.243,0.251,0.153
P0CY28,0.103,0.374,0.523,0.347,0.246,0.254,0.153
P0DOF8,0.464,0.052,0.485,0.103,0.588,0.155,0.155
P0DPH8,0.393,0.144,0.462,0.400,0.200,0.238,0.162
P0DPI1,0.292,0.235,0.474,0.325,0.170,0.296,0.210
P10481,0.024,0.453,0.524,0.325,0.262,0.249,0.165
P10482,0.407,0.123,0.470,0.433,0.180,0.215,0.171
P10844,0.308,0.233,0.459,0.320,0.163,0.301,0.215
P11021,0.411,0.220,0.369,0.304,0.258,0.245,0.193
P11411,0.391,0.195,0.414,0.366,0.200,0.278,0.156
P11500,0.532,0.000,0.468,0.085,0.787,0.064,0.064
P12269,0.311,0.216,0.473,0.416,0.179,0.247,0.158
P12746,0.516,0.116,0.368,0.276,0.264,0.260,0.200
P13922,0.258,0.184,0.558,0.336,0.235,0.243,0.186
P14489,0.402,0.177,0.421,0.346,0.229,0.222,0.203
P14677,0.336,0.205,0.459,0.267,0.253,0.284,0.196
P15917,0.523,0.101,0.376,0.226,0.286,0.265,0.224
P16184,0.218,0.252,0.529,0.272,0.316,0.223,0.189
P16897,0.458,0.132,0.410,0.340,0.236,0.243,0.181
P17443,0.482,0.172,0.346,0.383,0.189,0.251,0.177
P18539,0.338,0.162,0.500,0.362,0.210,0.263,0.165
P19821,0.573,0.085,0.341,0.357,0.202,0.252,0.189
P20831,0.327,0.235,0.438,0.332,0.238,0.241,0.189
P21687,0.332,0.262,0.406,0.351,0.212,0.275,0.162
P21700,0.645,0.000,0.355,0.331,0.224,0.220,0.224
P22188,0.368,0.232,0.400,0.345,0.192,0.277,0.186
P22303,0.378,0.099,0.523,0.394,0.212,0.221,0.173
P22629,0.142,0.355,0.503,0.279,0.350,0.219,0.153
P22906,0.193,0.250,0.557,0.266,0.297,0.250,0.188
P22939,0.753,0.000,0.247,0.405,0.204,0.224,0.167
P24473,0.473,0.097,0.429,0.296,0.305,0.243,0.155
P25101,0.590,0.000,0.410,0.316,0.311,0.244,0.129
P25779,0.242,0.167,0.591,0.317,0.261,0.259,0.163
P26281,0.277,0.270,0.453,0.258,0.277,0.258,0.208
P26647,0.498,0.151,0.351,0.298,0.249,0.265,0.188
P28593,0.303,0.260,0.437,0.388,0.211,0.232,0.169
P29009,0.857,0.000,0.143,0.095,0.714,0.095,0.095
P31224,0.532,0.173,0.295,0.332,0.165,0.292,0.212
P35695,0.350,0.203,0.447,0.338,0.226,0.237,0.199
P37340,0.862,0.000,0.138,0.422,0.151,0.197,0.230
P39051,0.305,0.270,0.425,0.388,0.205,0.240,0.167
P40881,0.142,0.356,0.502,0.304,0.194,0.316,0.186
P43093,0.125,0.365,0.511,0.336,0.254,0.252,0.158
P43095,0.115,0.361,0.524,0.335,0.261,0.256,0.148
P46510,0.415,0.088,0.497,0.282,0.321,0.239,0.158
P46925,0.177,0.316,0.508,0.318,0.258,0.274,0.150
P50135,0.435,0.178,0.387,0.274,0.260,0.243,0.223
P50440,0.262,0.210,0.527,0.310,0.234,0.281,0.175
P52702,0.528,0.000,0.472,0.307,0.366,0.199,0.129
P52703,0.575,0.000,0.425,0.315,0.280,0.260,0.145
P55210,0.215,0.165,0.620,0.254,0.380,0.205,0.162
P58154,0.118,0.476,0.406,0.245,0.231,0.301,0.223
P60546,0.469,0.188,0.343,0.203,0.275,0.290,0.232
P65502,0.402,0.159,0.439,0.286,0.217,0.275,0.222
P68563,0.311,0.311,0.379,0.294,0.249,0.254,0.203
P76196,0.720,0.000,0.280,0.195,0.322,0.271,0.212
P81245,0.153,0.484,0.363,0.210,0.325,0.229,0.236
P86926,0.322,0.209,0.469,0.275,0.303,0.252,0.171
P88142,0.318,0.201,0.481,0.331,0.193,0.292,0.184
P90584,0.358,0.176,0.466,0.293,0.265,0.244,0.198
P94958,0.343,0.132,0.525,0.367,0.214,0.259,0.161
P95276,0.435,0.138,0.427,0.346,0.211,0.270,0.174
P95468,0.449,0.135,0.416,0.406,0.193,0.239,0.162
P96878,0.589,0.075,0.336,0.391,0.192,0.253,0.164
P98170,0.322,0.093,0.586,0.229,0.290,0.264,0.217
P9WFX0,0.318,0.318,0.364,0.356,0.209,0.247,0.189
P9WNX1,0.180,0.329,0.491,0.292,0.267,0.217,0.224
P9WQ59,0.298,0.212,0.490,0.383,0.212,0.253,0.152
P9WQA9,0.262,0.316,0.422,0.402,0.199,0.223,0.176
Q00024,0.268,0.109,0.623,0.324,0.248,0.264,0.164
Q01158,0.308,0.226,0.465,0.409,0.208,0.237,0.146
Q01234,0.465,0.115,0.419,0.300,0.300,0.226,0.175
Q01693,0.321,0.198,0.480,0.355,0.222,0.266,0.157
Q01782,0.458,0.149,0.392,0.392,0.191,0.247,0.170
Q02499,0.348,0.256,0.397,0.354,0.182,0.276,0.187
Q02936,0.221,0.261,0.518,0.344,0.253,0.259,0.144
Q03469,0.470,0.172,0.358,0.340,0.231,0.239,0.190
Q05DJ8,0.137,0.301,0.562,0.330,0.279,0.254,0.137
Q07422,0.225,0.211,0.564,0.328,0.254,0.244,0.174
Q08I33,0.326,0.251,0.423,0.372,0.205,0.234,0.188
Q09GQ4,0.504,0.089,0.406,0.460,0.189,0.231,0.120
Q0GKD7,0.732,0.000,0.268,0.376,0.227,0.260,0.138
Q0H0G9,0.251,0.312,0.437,0.276,0.281,0.241,0.201
Q0VTR6,0.363,0.136,0.501,0.368,0.214,0.266,0.151
Q0VTR8,0.360,0.141,0.499,0.373,0.198,0.272,0.157
Q0VTS0,0.360,0.138,0.501,0.376,0.217,0.258,0.149
Q197X6,0.534,0.026,0.440,0.311,0.257,0.271,0.161
Q20MD3,0.077,0.390,0.533,0.431,0.183,0.252,0.134
Q20MD5,0.469,0.031,0.500,0.104,0.594,0.156,0.146
Q25270,0.372,0.140,0.488,0.186,0.465,0.233,0.116
Q27552,0.250,0.211,0.539,0.357,0.234,0.221,0.188
Q27713,0.256,0.181,0.564,0.327,0.247,0.245,0.181
Q27757,0.316,0.222,0.462,0.428,0.204,0.226,0.143
Q27793,0.240,0.211,0.549,0.347,0.240,0.234,0.179
Q2HY42,0.353,0.241,0.406,0.357,0.229,0.233,0.180
Q2LFS1,0.076,0.403,0.521,0.439,0.183,0.220,0.158
Q2PCB5,0.227,0.269,0.505,0.327,0.246,0.230,0.197
Q2PUH3,0.478,0.134,0.388,0.340,0.230,0.241,0.189
Q2TU57,0.724,0.000,0.276,0.403,0.226,0.213,0.158
Q2XPY6,0.467,0.134,0.399,0.337,0.227,0.251,0.186
Q31FD6,0.152,0.267,0.581,0.273,0.346,0.210,0.171
Q3I4V7,0.402,0.126,0.473,0.314,0.301,0.234,0.151
Q3S5C3,0.829,0.000,0.171,0.124,0.524,0.200,0.152
Q3SAW3,0.484,0.145,0.371,0.346,0.208,0.240,0.205
Q3Y6Q3,0.350,0.233,0.417,0.357,0.222,0.241,0.180
Q46604,0.213,0.402,0.385,0.303,0.270,0.230,0.197
Q46991,0.473,0.130,0.397,0.336,0.233,0.250,0.182
Q47066,0.474,0.131,0.395,0.347,0.241,0.234,0.179
Q47245,0.318,0.242,0.440,0.335,0.213,0.261,0.192
Q48435,0.354,0.144,0.501,0.375,0.218,0.252,0.155
Q49PX0,0.573,0.000,0.427,0.256,0.333,0.222,0.188
Q4QYD9,0.536,0.010,0.454,0.315,0.249,0.269,0.167
Q4TVR4,0.469,0.140,0.392,0.329,0.231,0.276,0.164
Q4U254,0.252,0.222,0.526,0.324,0.214,0.269,0.192
Q4WAW7,0.358,0.151,0.491,0.341,0.241,0.239,0.179
Q4WNT5,0.501,0.072,0.427,0.328,0.239,0.241,0.192
Q4Z710,0.426,0.118,0.456,0.275,0.239,0.293,0.193
Q50565,0.438,0.182,0.381,0.301,0.244,0.273,0.182
Q50H31,0.437,0.164,0.399,0.340,0.231,0.231,0.198
Q53TY8,0.349,0.147,0.504,0.370,0.215,0.260,0.155
Q54A96,0.467,0.084,0.448,0.348,0.209,0.267,0.176
Q56691,0.446,0.117,0.438,0.287,0.300,0.242,0.171
Q59750,0.122,0.387,0.491,0.371,0.176,0.278,0.175
Q5HCI2,0.452,0.165,0.383,0.235,0.374,0.191,0.200
Q5HGF6,0.330,0.268,0.402,0.395,0.192,0.248,0.165
Q5HPI5,0.338,0.259,0.404,0.351,0.174,0.266,0.209
Q5HPI6,0.346,0.212,0.441,0.331,0.209,0.259,0.200
Q5L478,0.161,0.204,0.635,0.302,0.275,0.253,0.170
Q5NGQ3,0.458,0.154,0.388,0.442,0.173,0.223,0.162
Q5PY51,0.291,0.187,0.522,0.338,0.291,0.203,0.168
Q5RJZ2,0.415,0.122,0.463,0.375,0.253,0.247,0.125
Q5TIX5,0.895,0.000,0.105,0.221,0.453,0.221,0.105
Q5TU56,0.475,0.129,0.396,0.306,0.278,0.247,0.169
Q5U7L7,0.350,0.233,0.417,0.357,0.222,0.241,0.180
Q5U9J1,0.093,0.199,0.708,0.281,0.285,0.288,0.146
Q5YLN7,0.138,0.025,0.836,0.044,0.943,0.013,0.000
Q63380,0.658,0.002,0.340,0.392,0.183,0.258,0.167
Q64680,0.526,0.080,0.394,0.348,0.222,0.250,0.180
Q670S6,0.476,0.128,0.395,0.341,0.236,0.247,0.176
Q690N0,0.388,0.012,0.600,0.286,0.320,0.237,0.158
Q6FTL6,0.457,0.137,0.406,0.352,0.274,0.196,0.178
Q6GI75,0.465,0.148,0.387,0.426,0.172,0.246,0.156
Q6GWS8,0.469,0.140,0.392,0.346,0.217,0.245,0.192
Q6JP75,0.450,0.123,0.427,0.330,0.259,0.236,0.175
Q6KCB6,0.314,0.250,0.436,0.363,0.186,0.264,0.188
Q6PRG8,0.459,0.136,0.405,0.333,0.224,0.259,0.184
Q6PSM0,0.613,0.090,0.297,0.380,0.195,0.253,0.172
Q6Q793,0.085,0.385,0.530,0.420,0.204,0.233,0.143
Q6REX6,0.472,0.136,0.392,0.325,0.227,0.276,0.171
Q6RY99,0.381,0.104,0.516,0.344,0.271,0.213,0.172
Q6UCJ9,0.388,0.127,0.484,0.341,0.278,0.257,0.125
Q6UWP2,0.481,0.146,0.373,0.415,0.192,0.200,0.192
Q6W9J1,0.472,0.136,0.392,0.336,0.220,0.262,0.182
Q6XEC0,0.426,0.200,0.374,0.347,0.230,0.226,0.196
Q70I53,0.420,0.127,0.453,0.417,0.168,0.271,0.144
Q72502,0.418,0.191,0.391,0.432,0.166,0.251,0.151
Q72547,0.311,0.221,0.468,0.311,0.214,0.270,0.205
Q72874,0.091,0.475,0.434,0.202,0.364,0.242,0.192
Q75VQ4,0.072,0.394,0.533,0.431,0.181,0.254,0.134
Q76353,0.351,0.156,0.493,0.253,0.292,0.278,0.177
Q7DHH4,0.359,0.240,0.401,0.292,0.213,0.269,0.226
Q7K6A1,0.367,0.102,0.530,0.356,0.234,0.243,0.167
Q7M3D2,0.089,0.407,0.504,0.329,0.250,0.246,0.175
Q7X1P7,0.339,0.215,0.447,0.331,0.208,0.263,0.197
Q7X575,0.469,0.140,0.392,0.325,0.224,0.276,0.175
Q7Z1V1,0.547,0.085,0.368,0.353,0.204,0.256,0.187
Q7ZJM1,0.351,0.153,0.497,0.253,0.288,0.285,0.174
Q804I7,0.578,0.004,0.418,0.289,0.302,0.240,0.169
Q81R22,0.216,0.321,0.463,0.278,0.259,0.228,0.235
Q81VW8,0.450,0.154,0.396,0.375,0.179,0.243,0.204
Q83TT7,0.500,0.000,0.500,0.050,0.900,0.050,0.000
Q840P9,0.340,0.223,0.438,0.355,0.234,0.245,0.166
Q862F3,0.518,0.059,0.424,0.224,0.424,0.224,0.129
Q862L2,0.121,0.222,0.657,0.172,0.495,0.192,0.141
Q873X9,0.344,0.171,0.485,0.367,0.238,0.254,0.141
Q8AWE3,0.000,0.477,0.523,0.308,0.230,0.286,0.176
Q8CFM9,0.247,0.282,0.471,0.259,0.341,0.188,0.212
Q8G2R2,0.472,0.177,0.351,0.419,0.198,0.233,0.151
Q8G9Q0,0.373,0.214,0.413,0.351,0.228,0.243,0.178
Q8GDC1,0.350,0.226,0.425,0.368,0.233,0.233,0.165
Q8HY88,0.657,0.000,0.343,0.241,0.294,0.263,0.202
Q8I6E4,0.365,0.097,0.539,0.284,0.330,0.236,0.150
Q8MI13,0.714,0.000,0.286,0.235,0.504,0.160,0.101
Q8NEV1,0.292,0.151,0.558,0.248,0.361,0.212,0.179
Q8RL90,0.360,0.131,0.509,0.365,0.214,0.259,0.161
Q8RT60,0.479,0.128,0.393,0.338,0.228,0.252,0.183
Q8SPQ9,0.437,0.025,0.538,0.387,0.167,0.263,0.182
Q8T9Z7,0.347,0.229,0.424,0.392,0.204,0.249,0.155
Q8VH25,0.501,0.000,0.499,0.294,0.390,0.199,0.117
Q8VH26,0.412,0.000,0.588,0.249,0.394,0.259,0.099
Q8VH27,0.506,0.000,0.494,0.298,0.412,0.172,0.118
Q8VNN2,0.123,0.385,0.492,0.402,0.159,0.267,0.171
Q8WMX0,0.101,0.022,0.878,0.050,0.921,0.029,0.000
Q8WS26,0.689,0.000,0.311,0.376,0.207,0.259,0.158
Q8WSF8,0.114,0.504,0.381,0.284,0.203,0.322,0.191
Q8Z9J9,0.220,0.327,0.453,0.283,0.270,0.208,0.239
Q91ZM7,0.280,0.172,0.548,0.285,0.263,0.283,0.169
Q91ZY3,0.604,0.000,0.396,0.314,0.285,0.257,0.144
Q92570,0.291,0.008,0.701,0.244,0.415,0.233,0.107
Q93T40,0.336,0.250,0.414,0.367,0.207,0.250,0.176
Q93UV0,0.398,0.162,0.440,0.421,0.188,0.236,0.155
Q94F81,0.000,0.189,0.811,0.122,0.741,0.077,0.059
Q95214,0.633,0.020,0.348,0.341,0.272,0.259,0.128
Q95KY9,0.538,0.038,0.425,0.449,0.222,0.195,0.134
Q962Y6,0.319,0.253,0.428,0.361,0.216,0.254,0.169
Q965D5,0.507,0.086,0.407,0.347,0.280,0.236,0.137
Q965D6,0.449,0.116,0.435,0.405,0.183,0.236,0.176
Q965D7,0.196,0.322,0.483,0.370,0.226,0.196,0.209
Q96W81,0.529,0.074,0.397,0.338,0.219,0.246,0.197
Q98UH1,0.625,0.000,0.375,0.294,0.331,0.234,0.141
Q99P97,0.013,0.158,0.829,0.120,0.709,0.108,0.063
Q99VQ4,0.460,0.084,0.457,0.319,0.228,0.271,0.183
Q9BEG3,0.372,0.195,0.433,0.353,0.193,0.249,0.205
Q9BJF5,0.460,0.114,0.426,0.270,0.300,0.219,0.211
Q9BJJ9,0.519,0.086,0.396,0.345,0.275,0.243,0.137
Q9EPR9,0.627,0.000,0.373,0.277,0.310,0.234,0.179
Q9EQ79,0.317,0.141,0.542,0.403,0.198,0.254,0.145
Q9ERT1,0.689,0.000,0.311,0.331,0.295,0.187,0.187
Q9EXV5,0.478,0.134,0.388,0.340,0.230,0.241,0.189
Q9F4F7,0.384,0.272,0.344,0.286,0.254,0.259,0.201
Q9GRG7,0.361,0.177,0.463,0.345,0.219,0.282,0.154
Q9HVB9,0.460,0.135,0.405,0.326,0.247,0.251,0.177
Q9HWR2,0.418,0.183,0.399,0.291,0.254,0.254,0.201
Q9IGQ6,0.072,0.403,0.525,0.416,0.188,0.256,0.141
Q9JKC1,0.385,0.102,0.513,0.397,0.221,0.213,0.169
Q9JKS8,0.315,0.119,0.566,0.409,0.205,0.251,0.135
Q9KVZ7,0.335,0.137,0.528,0.270,0.294,0.266,0.169
Q9L4P2,0.407,0.168,0.425,0.341,0.245,0.212,0.201
Q9LGC6,0.184,0.313,0.503,0.404,0.168,0.258,0.170
Q9N1N9,0.390,0.100,0.510,0.394,0.213,0.233,0.161
Q9N623,0.712,0.000,0.288,0.366,0.248,0.241,0.146
Q9NFS5,0.371,0.259,0.371,0.396,0.206,0.249,0.150
Q9NPC2,0.578,0.000,0.422,0.262,0.283,0.275,0.179
Q9P0L2,0.209,0.112,0.679,0.192,0.499,0.189,0.119
Q9PPP5,0.278,0.260,0.462,0.260,0.283,0.251,0.206
Q9R297,0.699,0.000,0.301,0.361,0.276,0.205,0.159
Q9RFR0,0.524,0.108,0.368,0.290,0.239,0.252,0.219
Q9RMI3,0.465,0.148,0.387,0.426,0.172,0.246,0.156
Q9TUN3,0.202,0.180,0.618,0.298,0.157,0.308,0.236
Q9TUN4,0.052,0.420,0.528,0.350,0.212,0.258,0.180
Q9TVW2,0.408,0.209,0.383,0.372,0.245,0.231,0.152
Q9UUZ4,0.218,0.303,0.479,0.451,0.139,0.249,0.161
Q9V396,0.141,0.311,0.548,0.274,0.263,0.226,0.237
Q9VTU8,0.254,0.236,0.510,0.334,0.248,0.221,0.197
Q9W6Q1,0.577,0.000,0.423,0.290,0.285,0.239,0.186
Q9WKE8,0.224,0.239,0.537,0.266,0.251,0.274,0.208
Q9WTR4,0.705,0.000,0.295,0.405,0.161,0.263,0.171
Q9X6J6,0.000,0.595,0.405,0.257,0.419,0.162,0.162
Q9XAY4,0.350,0.226,0.425,0.368,0.233,0.233,0.165
Q9XSW7,0.385,0.003,0.612,0.284,0.289,0.297,0.129
Q9XYC7,0.367,0.102,0.530,0.356,0.234,0.243,0.167
Q9Y0I0,0.698,0.000,0.302,0.473,0.229,0.166,0.132
Q9YQ12,0.091,0.475,0.434,0.212,0.374,0.242,0.172
Q9ZTP8,0.347,0.092,0.561,0.347,0.282,0.216,0.155
XP_001348613,0.355,0.185,0.460,0.379,0.195,0.248,0.179
XP_717710,0.314,0.217,0.469,0.237,0.309,0.275,0.179
YP_001085402,0.312,0.234,0.454,0.411,0.199,0.248,0.142
YP_001315171,0.504,0.112,0.384,0.305,0.236,0.253,0.206
YP_001331689,0.707,0.068,0.224,0.177,0.293,0.293,0.238
YP_002440506,0.320,0.189,0.491,0.433,0.171,0.238,0.159
YP_016573,0.388,0.167,0.445,0.439,0.184,0.239,0.138
YP_815859,0.438,0.226,0.336,0.363,0.192,0.253,0.192
YP_815860,0.388,0.202,0.410,0.391,0.177,0.224,0.208
